Statistical profiling result from profNoBloq.log, (6958 ticks, 42 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Function: ^callback node:internal/streams/writable:550:44
      1    0.0%    0.0%  Function: ^assertSize node:internal/crypto/random:75:20
      1    0.0%    0.0%  Function: ^Writable.write node:internal/streams/writable:333:36
      1    0.0%    0.0%  Function: ^Readable.read node:internal/streams/readable:394:35
      1    0.0%    0.0%  Function: ^Module.load node:internal/modules/cjs/loader:969:33
      1    0.0%    0.0%  Function: ^Module._resolveLookupPaths node:internal/modules/cjs/loader:667:38
      1    0.0%    0.0%  Function: ^Module._extensions..js node:internal/modules/cjs/loader:1114:37
      1    0.0%    0.0%  Function: ^Hash node:internal/crypto/hash:58:14
      1    0.0%    0.0%  Function: ^FastBuffer node:internal/buffer:958:14
      1    0.0%    0.0%  Function: ^DerivedLogger.<computed> /Users/fabricio/Backend/CoderHouse-2022/Desafio-clase-32/node_modules/winston/lib/winston/create-logger.js:71:47
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/fs/utils:687:40
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/fs/utils:358:35
      1    0.0%    0.0%  Function: ^<anonymous> node:buffer:349:36

 [C++]:
   ticks  total  nonlib   name
